"Name","Disc. Date","mmax","Mmax","Host Name","z","Type","E(B-V)","X-ray"
"SN2018jdn","2018/11/27","18.86","-18.8","","0.075,0.075","Ia","",""
"SDSS-II SN 13149","2006/08/28","21.18","","SDSS J01732.26+000539.1","","Ia","0.0205",""
"SDSS-II SN 18767","2007/09/22","22.5","-18.4532","SDSS J01808.35+004831.5","0.330161","Ia","0.0231",""
"SDSS-II SN 20231","2007/10/30","21.46","-19.7898","SDSS J01821.33-000156.3","0.376684","Ia","0.0215",""
"SDSS-II SN 15860","2006/10/16","21.18","-19.47","SDSS J01823.38+001057.5","0.288,0.241,0.217","Ia","0.023",""
"SN2016hbj","2016/10/06","20.61","-19.27","2MASX J00182379+1641233","0.205,0.205","Ia","0.0493",""
"SDSS-II SN 13952","","20.81","-20.1381","SDSS J01832.28+004719.8","0.32941","Ia","0.0225",""
"SDSS-II SN 20624","2007/10/31","22.44","","","","Ia","0.0237",""
"SDSS-II SN 13633","2006/09/11","21.85","-19.4658","SDSS J01839.68+000019.6","0.387896","Ia","0.0213",""
"SDSS-II SN 19552","2007/09/16","19.47","-22.1237","SDSS J01849.98+002027.6","0.438975","Ia","0.022",""
"OGLE-2013-SN-044","2013/08/07","18.75","-18.7","","0.068","Ia","0.0442",""
"SN2005jn","2005/10/26","21.27","-19.6","A001900-0016","0.32,0.32","Ia","0.0236",""
"SDSS-II SN 14043","2006/09/20","20.7","","","","Ia","0.0243",""
"OGLE-2013-SN-032","2013/07/07","19.26","-19","","0.09","Ia","0.0199",""
"SN2006kr","2006/10/11","20.71","-19.4","SDSS J01919.67+010526.2","0.227,0.213,0.224","Ia","0.0232",""
"SN2008he","2008/10/31","22.4","-16","A001931+2851","0.1,0.1","Ia","0.0301",""
"SN2007kq","2007/09/14","20.36","-18.9184","SDSS J01943.97-002400.4","0.156528","Ia","0.0254",""
"SN1999cw","1999/06/28","14.2","-18.9","MCG -01-02-01","0.01237","Ia","0.0296",""
"SN2017imx","2017/11/25","18.77","-18.68","","0.0687,0.0687","Ia","0.0663",""
"SDSS-II SN 9817","2005/11/11","21.7","-18.3889","SDSS J02009.08+003553.3","0.224795","Ia","0.0214",""
"SN2008it","2008/12/03","20.9","-19.1","A002031+2855","0.22,0.22","Ia","0.0326",""
"SDSS-II SN 17976","2007/09/14","21.95","","SDSS J02035.28-011508.8","","Ia","0.0323",""
"SDSS-II SN 8888","2005/11/03","22.72","-18.6548","SDSS J02039.77+001914.9","0.398215","Ia","0.0225",""
"SN2016dsn","2016/02/23","16.47","-19.538","GALEXASC J002041.66+251341.1","0.03561,0.03561","Ia-91T","0.0248",""
"SDSS-II SN 15236","","","","","0.382734","Ia","0.0255",""
"SN2011gr","2011/09/18","18.3","-19.1","A002045+0656","0.068","Ia","0.03",""
"SN2017gcy","2017/08/14","18.86","-18.3","","0.061,0.061","Ia","0.0221",""
"SN2010le","2010/11/05","18.3","","A002052+3339","","Ia","0.0451",""
"SDSS-II SN 19132","2007/09/19","22.88","-18.3937","SDSS J02106.88-004454.9","0.380703","Ia","0.0234",""
"SN2017hnq","2017/10/11","18.96","-19.49","","0.108,0.108","Ia-91T","0.0255",""
"SN2007oi","2007/10/13","21.73","-18.98","SDSS J02118.29+010425.9","0.296,0.32","Ia","0.0186",""
"ASASSN-15ut","2015/12/30","16.24","-17.2945","NGC 88","0.011471","Ia","0.0167",""
"SDSS-II SN 4361","2005/09/13","22.11","","","","Ia","0.0223",""
"SN2016eoa","2016/08/02","14.54","-20.3","NGC 0083","0.021","Ia","0.0584",""
"SDSS-II SN 21152","","20.79","-20.3559","SDSS J02129.10+004030.4","0.359687","Ia","0.0195",""
"SDSS-II SN 1740","2005/09/10","20.31","-19.1216","SDSS J02137.05-005251.3","0.167,0.167636","Ia","0.0223",""
"SN2006er","2006/08/26","19.51","-18.3877","SDSS J02137.88-010038.2","0.084083","Ia","0.0244",""
"SN2005is","2005/10/12","20.36","-19.1558","SDSS J02144.91-001929.9","0.1724,0.174074","Ia?","0.0224",""
"SDSS-II SN 15690","2006/10/23","21.05","-19.6968","SDSS J02146.54+004703.7","0.301222","Ia","0.0183",""
"SDSS-II SN 893","2005/09/03","21.25","-17.2457","SDSS J02158.33-000757.8","0.110133","Ia","0.0221",""
"SDSS-II SN 4117","2005/09/25","22.4","-18.19","SDSS J02159.94-011437.4","0.281","Ia","0.0239",""
"SDSS-II SN 7794","2005/10/26","21.86","","SDSS J02202.13+000429.6","","Ia","0.0225",""
"SN2006ng","2006/10/21","21.59","-19.71","A002207-0005","0.385","Ia","0.0226",""
"SDSS-II SN 3780","2005/09/25","22.01","-19.1502","SDSS J02210.33+003227.9","0.361973","Ia","0.0196",""
"SDSS-II SN 19584","","21.32","-17.0347","SDSS J02217.47+003952.6","0.103357","Ia","0.0185",""
"OGLE-2013-SN-039","2013/07/17","18.94","-19","","0.08,0.09","Ia","0.026",""
"OGLE-2014-SN-058","2014/08/19","20.05","-19.1","","0.15","Ia","0.0248",""
"SDSS-II SN 16652","2006/11/10","21","-19.2297","SDSS J02243.14+000045.0","0.23934","Ia","0.0236",""
"SN2007px","2007/11/02","19.35","-19.1049","SDSS J02243.95-002845.7","0.108128","Ia","0.0212",""
"SNF20080909-024","2008/09/09","19.6","-19.2532","","0.12935","Ia","0.0466",""
"SN2009li","2009/11/16","17.69","-18.59","IC 1549","0.0404,0.0392,0.0404","Ia","0.0223",""
"SN2007ly","2007/10/08","19.77","-17.7549","SDSS J02253.38+004633.2","0.071026","Ia","0.0196",""
"SDSS-II SN 20187","","21.52","","SDSS J02253.80+004345.6","","Ia","0.0198",""
"SDSS-II SN 14548","","20.67","-20.3511","SDSS J02253.89+004958.2","0.34028","Ia","0.0193",""
"SN2011jd","2011/11/19","18.1","-19.7","A002254+1352","0.079","Ia","0.0564",""
"SDSS-II SN 19434","2007/10/12","20.52","-18.7743","SDSS J02300.54+000211.6","0.157646","Ia","0.0243",""
"SN2007lq","2007/10/06","20.65","-19.47","SDSS J02307.98+005900.0","0.228,0.294,0.297","Ia?","0.0196",""
"SN2006pe","2006/11/09","20.27","-18.85","SDSS J02309.19-000312.8","0.146","Ia","0.0244",""
"SDSS-II SN 14087","2006/09/16","22.74","","","","Ia","0.0224",""
"SDSS-II SN 15212","2006/09/19","21.68","","","","Ia","0.0245",""
"SDSS-II SN 4229","2005/09/22","21.9","-18.9","SDSS J02310.50+001849.4","0.309,0.273","Ia","0.0239",""
